year,month,day,type,url,dayStartDateSession,monthStartDateSession,dayEndDateSession,monthEndDateSession,ojCol,ojNum,ojYear,ojClass,ojDate
2014,01,13,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2014-01-13-TOC_EN.html,13,01,16,01,NA,0,0,NA,NA
2014,01,14,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2014-01-14-TOC_EN.html,13,01,16,01,NA,0,0,NA,NA
2014,01,15,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2014-01-15-TOC_EN.html,13,01,16,01,NA,0,0,NA,NA
2014,01,16,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2014-01-16-TOC_EN.html,13,01,16,01,NA,0,0,NA,NA
2014,02,03,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2014-02-03-TOC_EN.html,03,02,06,02,NA,0,0,NA,NA
2014,02,04,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2014-02-04-TOC_EN.html,03,02,06,02,NA,0,0,NA,NA
2014,02,05,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2014-02-05-TOC_EN.html,03,02,06,02,NA,0,0,NA,NA
2014,02,06,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2014-02-06-TOC_EN.html,03,02,06,02,NA,0,0,NA,NA
2014,02,24,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2014-02-24-TOC_EN.html,24,02,27,02,NA,0,0,NA,NA
2014,02,25,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2014-02-25-TOC_EN.html,24,02,27,02,NA,0,0,NA,NA
2014,02,26,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2014-02-26-TOC_EN.html,24,02,27,02,NA,0,0,NA,NA
2014,02,27,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2014-02-27-TOC_EN.html,24,02,27,02,NA,0,0,NA,NA
2014,03,10,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2014-03-10-TOC_EN.html,10,03,13,03,NA,0,0,NA,NA
2014,03,11,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2014-03-11-TOC_EN.html,10,03,13,03,NA,0,0,NA,NA
2014,03,12,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2014-03-12-TOC_EN.html,10,03,13,03,NA,0,0,NA,NA
2014,03,13,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2014-03-13-TOC_EN.html,10,03,13,03,NA,0,0,NA,NA
2014,04,02,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2014-04-02-TOC_EN.html,02,04,03,04,NA,0,0,NA,NA
2014,04,03,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2014-04-03-TOC_EN.html,02,04,03,04,NA,0,0,NA,NA
2014,04,14,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2014-04-14-TOC_EN.html,14,04,17,04,NA,0,0,NA,NA
2014,04,15,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2014-04-15-TOC_EN.html,14,04,17,04,NA,0,0,NA,NA
2014,04,16,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2014-04-16-TOC_EN.html,14,04,17,04,NA,0,0,NA,NA
2014,04,17,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2014-04-17-TOC_EN.html,14,04,17,04,NA,0,0,NA,NA
2014,07,01,SES,https://www.europarl.europa.eu/doceo/document/CRE-8-2014-07-01-TOC_EN.html,01,07,03,07,NA,0,0,NA,NA
2014,07,02,SES,https://www.europarl.europa.eu/doceo/document/CRE-8-2014-07-02-TOC_EN.html,01,07,03,07,NA,0,0,NA,NA
2014,07,03,SES,https://www.europarl.europa.eu/doceo/document/CRE-8-2014-07-03-TOC_EN.html,01,07,03,07,NA,0,0,NA,NA
2014,07,14,SES,https://www.europarl.europa.eu/doceo/document/CRE-8-2014-07-14-TOC_EN.html,14,07,17,07,NA,0,0,NA,NA
2014,07,15,SES,https://www.europarl.europa.eu/doceo/document/CRE-8-2014-07-15-TOC_EN.html,14,07,17,07,NA,0,0,NA,NA
2014,07,16,SES,https://www.europarl.europa.eu/doceo/document/CRE-8-2014-07-16-TOC_EN.html,14,07,17,07,NA,0,0,NA,NA
2014,07,17,SES,https://www.europarl.europa.eu/doceo/document/CRE-8-2014-07-17-TOC_EN.html,14,07,17,07,NA,0,0,NA,NA
