year,month,day,type,url,dayStartDateSession,monthStartDateSession,dayEndDateSession,monthEndDateSession,ojCol,ojNum,ojYear,ojClass,ojDate
2009,01,12,SES,https://www.europarl.europa.eu/doceo/document/CRE-6-2009-01-12-TOC_EN.html,12,01,15,01,NA,0,0,NA,NA
2009,01,13,SES,https://www.europarl.europa.eu/doceo/document/CRE-6-2009-01-13-TOC_EN.html,12,01,15,01,NA,0,0,NA,NA
2009,01,14,SES,https://www.europarl.europa.eu/doceo/document/CRE-6-2009-01-14-TOC_EN.html,12,01,15,01,NA,0,0,NA,NA
2009,01,15,SES,https://www.europarl.europa.eu/doceo/document/CRE-6-2009-01-15-TOC_EN.html,12,01,15,01,NA,0,0,NA,NA
2009,02,02,SES,https://www.europarl.europa.eu/doceo/document/CRE-6-2009-02-02-TOC_EN.html,02,02,05,02,NA,0,0,NA,NA
2009,02,03,SES,https://www.europarl.europa.eu/doceo/document/CRE-6-2009-02-03-TOC_EN.html,02,02,05,02,NA,0,0,NA,NA
2009,02,04,SES,https://www.europarl.europa.eu/doceo/document/CRE-6-2009-02-04-TOC_EN.html,02,02,05,02,NA,0,0,NA,NA
2009,02,05,SES,https://www.europarl.europa.eu/doceo/document/CRE-6-2009-02-05-TOC_EN.html,02,02,05,02,NA,0,0,NA,NA
2009,02,18,SES,https://www.europarl.europa.eu/doceo/document/CRE-6-2009-02-18-TOC_EN.html,18,02,19,02,NA,0,0,NA,NA
2009,02,19,SES,https://www.europarl.europa.eu/doceo/document/CRE-6-2009-02-19-TOC_EN.html,18,02,19,02,NA,0,0,NA,NA
2009,03,09,SES,https://www.europarl.europa.eu/doceo/document/CRE-6-2009-03-09-TOC_EN.html,09,03,12,03,NA,0,0,NA,NA
2009,03,10,SES,https://www.europarl.europa.eu/doceo/document/CRE-6-2009-03-10-TOC_EN.html,09,03,12,03,NA,0,0,NA,NA
2009,03,11,SES,https://www.europarl.europa.eu/doceo/document/CRE-6-2009-03-11-TOC_EN.html,09,03,12,03,NA,0,0,NA,NA
2009,03,12,SES,https://www.europarl.europa.eu/doceo/document/CRE-6-2009-03-12-TOC_EN.html,09,03,12,03,NA,0,0,NA,NA
2009,03,23,SES,https://www.europarl.europa.eu/doceo/document/CRE-6-2009-03-23-TOC_EN.html,23,03,26,03,NA,0,0,NA,NA
2009,03,24,SES,https://www.europarl.europa.eu/doceo/document/CRE-6-2009-03-24-TOC_EN.html,23,03,26,03,NA,0,0,NA,NA
2009,03,25,SES,https://www.europarl.europa.eu/doceo/document/CRE-6-2009-03-25-TOC_EN.html,23,03,26,03,NA,0,0,NA,NA
2009,03,26,SES,https://www.europarl.europa.eu/doceo/document/CRE-6-2009-03-26-TOC_EN.html,23,03,26,03,NA,0,0,NA,NA
2009,04,01,SES,https://www.europarl.europa.eu/doceo/document/CRE-6-2009-04-01-TOC_EN.html,01,04,02,04,NA,0,0,NA,NA
2009,04,02,SES,https://www.europarl.europa.eu/doceo/document/CRE-6-2009-04-02-TOC_EN.html,01,04,02,04,NA,0,0,NA,NA
2009,04,21,SES,https://www.europarl.europa.eu/doceo/document/CRE-6-2009-04-21-TOC_EN.html,21,04,24,04,NA,0,0,NA,NA
2009,04,22,SES,https://www.europarl.europa.eu/doceo/document/CRE-6-2009-04-22-TOC_EN.html,21,04,24,04,NA,0,0,NA,NA
2009,04,23,SES,https://www.europarl.europa.eu/doceo/document/CRE-6-2009-04-23-TOC_EN.html,21,04,24,04,NA,0,0,NA,NA
2009,04,24,SES,https://www.europarl.europa.eu/doceo/document/CRE-6-2009-04-24-TOC_EN.html,21,04,24,04,NA,0,0,NA,NA
2009,05,04,SES,https://www.europarl.europa.eu/doceo/document/CRE-6-2009-05-04-TOC_EN.html,04,05,07,05,NA,0,0,NA,NA
2009,05,05,SES,https://www.europarl.europa.eu/doceo/document/CRE-6-2009-05-05-TOC_EN.html,04,05,07,05,NA,0,0,NA,NA
2009,05,06,SES,https://www.europarl.europa.eu/doceo/document/CRE-6-2009-05-06-TOC_EN.html,04,05,07,05,NA,0,0,NA,NA
2009,05,07,SES,https://www.europarl.europa.eu/doceo/document/CRE-6-2009-05-07-TOC_EN.html,04,05,07,05,NA,0,0,NA,NA
2009,07,14,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2009-07-14-TOC_EN.html,14,07,16,07,NA,0,0,NA,NA
2009,07,15,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2009-07-15-TOC_EN.html,14,07,16,07,NA,0,0,NA,NA
2009,07,16,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2009-07-16-TOC_EN.html,14,07,16,07,NA,0,0,NA,NA
2009,09,14,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2009-09-14-TOC_EN.html,14,09,17,09,NA,0,0,NA,NA
2009,09,15,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2009-09-15-TOC_EN.html,14,09,17,09,NA,0,0,NA,NA
2009,09,16,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2009-09-16-TOC_EN.html,14,09,17,09,NA,0,0,NA,NA
2009,09,17,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2009-09-17-TOC_EN.html,14,09,17,09,NA,0,0,NA,NA
2009,10,07,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2009-10-07-TOC_EN.html,07,10,08,10,NA,0,0,NA,NA
2009,10,08,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2009-10-08-TOC_EN.html,07,10,08,10,NA,0,0,NA,NA
2009,10,19,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2009-10-19-TOC_EN.html,19,10,22,10,NA,0,0,NA,NA
2009,10,20,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2009-10-20-TOC_EN.html,19,10,22,10,NA,0,0,NA,NA
2009,10,21,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2009-10-21-TOC_EN.html,19,10,22,10,NA,0,0,NA,NA
2009,10,22,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2009-10-22-TOC_EN.html,19,10,22,10,NA,0,0,NA,NA
2009,11,11,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2009-11-11-TOC_EN.html,11,11,12,11,NA,0,0,NA,NA
2009,11,12,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2009-11-12-TOC_EN.html,11,11,12,11,NA,0,0,NA,NA
2009,11,23,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2009-11-23-TOC_EN.html,23,11,26,11,NA,0,0,NA,NA
2009,11,24,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2009-11-24-TOC_EN.html,23,11,26,11,NA,0,0,NA,NA
2009,11,25,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2009-11-25-TOC_EN.html,23,11,26,11,NA,0,0,NA,NA
2009,11,26,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2009-11-26-TOC_EN.html,23,11,26,11,NA,0,0,NA,NA
2009,12,14,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2009-12-14-TOC_EN.html,14,12,17,12,NA,0,0,NA,NA
2009,12,15,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2009-12-15-TOC_EN.html,14,12,17,12,NA,0,0,NA,NA
2009,12,16,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2009-12-16-TOC_EN.html,14,12,17,12,NA,0,0,NA,NA
2009,12,17,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2009-12-17-TOC_EN.html,14,12,17,12,NA,0,0,NA,NA
2010,01,18,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2010-01-18-TOC_EN.html,18,01,21,01,NA,0,0,NA,NA
2010,01,19,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2010-01-19-TOC_EN.html,18,01,21,01,NA,0,0,NA,NA
2010,01,20,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2010-01-20-TOC_EN.html,18,01,21,01,NA,0,0,NA,NA
2010,01,21,SES,https://www.europarl.europa.eu/doceo/document/CRE-7-2010-01-21-TOC_EN.html,18,01,21,01,NA,0,0,NA,NA
