year,month,day,type,url,dayStartDateSession,monthStartDateSession,dayEndDateSession,monthEndDateSession,ojCol,ojNum,ojYear,ojClass,ojDate
2004,01,12,SES,https://www.europarl.europa.eu/doceo/document/CRE-5-2004-01-12-TOC_EN.html,12,01,15,01,NA,0,0,NA,NA
2004,01,13,SES,https://www.europarl.europa.eu/doceo/document/CRE-5-2004-01-13-TOC_EN.html,12,01,15,01,NA,0,0,NA,NA
2004,01,14,SES,https://www.europarl.europa.eu/doceo/document/CRE-5-2004-01-14-TOC_EN.html,12,01,15,01,NA,0,0,NA,NA
2004,01,15,SES,https://www.europarl.europa.eu/doceo/document/CRE-5-2004-01-15-TOC_EN.html,12,01,15,01,NA,0,0,NA,NA
2004,01,28,SES,https://www.europarl.europa.eu/doceo/document/CRE-5-2004-01-28-TOC_EN.html,28,01,29,01,NA,0,0,NA,NA
2004,01,29,SES,https://www.europarl.europa.eu/doceo/document/CRE-5-2004-01-29-TOC_EN.html,28,01,29,01,NA,0,0,NA,NA
2004,02,09,SES,https://www.europarl.europa.eu/doceo/document/CRE-5-2004-02-09-TOC_EN.html,09,02,12,02,NA,0,0,NA,NA
2004,02,10,SES,https://www.europarl.europa.eu/doceo/document/CRE-5-2004-02-10-TOC_EN.html,09,02,12,02,NA,0,0,NA,NA
2004,02,11,SES,https://www.europarl.europa.eu/doceo/document/CRE-5-2004-02-11-TOC_EN.html,09,02,12,02,NA,0,0,NA,NA
2004,02,12,SES,https://www.europarl.europa.eu/doceo/document/CRE-5-2004-02-12-TOC_EN.html,09,02,12,02,NA,0,0,NA,NA
2004,02,25,SES,https://www.europarl.europa.eu/doceo/document/CRE-5-2004-02-25-TOC_EN.html,25,02,26,02,NA,0,0,NA,NA
2004,02,26,SES,https://www.europarl.europa.eu/doceo/document/CRE-5-2004-02-26-TOC_EN.html,25,02,26,02,NA,0,0,NA,NA
2004,03,08,SES,https://www.europarl.europa.eu/doceo/document/CRE-5-2004-03-08-TOC_EN.html,08,03,11,03,NA,0,0,NA,NA
2004,03,09,SES,https://www.europarl.europa.eu/doceo/document/CRE-5-2004-03-09-TOC_EN.html,08,03,11,03,NA,0,0,NA,NA
2004,03,10,SES,https://www.europarl.europa.eu/doceo/document/CRE-5-2004-03-10-TOC_EN.html,08,03,11,03,NA,0,0,NA,NA
2004,03,11,SES,https://www.europarl.europa.eu/doceo/document/CRE-5-2004-03-11-TOC_EN.html,08,03,11,03,NA,0,0,NA,NA
2004,03,29,SES,https://www.europarl.europa.eu/doceo/document/CRE-5-2004-03-29-TOC_EN.html,29,03,01,04,NA,0,0,NA,NA
2004,03,30,SES,https://www.europarl.europa.eu/doceo/document/CRE-5-2004-03-30-TOC_EN.html,29,03,01,04,NA,0,0,NA,NA
2004,03,31,SES,https://www.europarl.europa.eu/doceo/document/CRE-5-2004-03-31-TOC_EN.html,29,03,01,04,NA,0,0,NA,NA
2004,04,01,SES,https://www.europarl.europa.eu/doceo/document/CRE-5-2004-04-01-TOC_EN.html,29,03,01,04,NA,0,0,NA,NA
2004,04,19,SES,https://www.europarl.europa.eu/doceo/document/CRE-5-2004-04-19-TOC_EN.html,19,04,22,04,NA,0,0,NA,NA
2004,04,20,SES,https://www.europarl.europa.eu/doceo/document/CRE-5-2004-04-20-TOC_EN.html,19,04,22,04,NA,0,0,NA,NA
2004,04,21,SES,https://www.europarl.europa.eu/doceo/document/CRE-5-2004-04-21-TOC_EN.html,19,04,22,04,NA,0,0,NA,NA
2004,04,22,SES,https://www.europarl.europa.eu/doceo/document/CRE-5-2004-04-22-TOC_EN.html,19,04,22,04,NA,0,0,NA,NA
